subject,status_file_exists,status,timestamp,output_directory,error_message,raw_content
00079,True,ERROR,2025-08-23 17:40:38.900437,/root/autodl-tmp/00079/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00079 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:38.900437
Output Directory: /root/autodl-tmp/00079/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00080,True,ERROR,2025-08-23 17:40:38.398169,/root/autodl-tmp/00080/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00080 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:38.398169
Output Directory: /root/autodl-tmp/00080/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00081,True,ERROR,2025-08-23 17:40:45.966283,/root/autodl-tmp/00081/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00081 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:45.966283
Output Directory: /root/autodl-tmp/00081/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00082,True,ERROR,2025-08-23 17:40:40.928663,/root/autodl-tmp/00082/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00082 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:40.928663
Output Directory: /root/autodl-tmp/00082/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00083,True,ERROR,2025-08-23 17:40:42.157107,/root/autodl-tmp/00083/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00083 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:42.157107
Output Directory: /root/autodl-tmp/00083/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00084,True,ERROR,2025-08-23 17:40:48.338685,/root/autodl-tmp/00084/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00084 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:48.338685
Output Directory: /root/autodl-tmp/00084/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00085,True,ERROR,2025-08-23 17:40:47.139904,/root/autodl-tmp/00085/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00085 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:47.139904
Output Directory: /root/autodl-tmp/00085/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00086,True,ERROR,2025-08-23 17:40:47.436373,/root/autodl-tmp/00086/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00086 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:47.436373
Output Directory: /root/autodl-tmp/00086/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00087,True,ERROR,2025-08-23 17:40:47.428138,/root/autodl-tmp/00087/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00087 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:47.428138
Output Directory: /root/autodl-tmp/00087/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00088,True,ERROR,2025-08-23 17:40:41.117649,/root/autodl-tmp/00088/ptt_bp_analysis_calibrated,cannot unpack non-iterable NoneType object,"Subject 00088 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:41.117649
Output Directory: /root/autodl-tmp/00088/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: cannot unpack non-iterable NoneType object
"
00089,True,ERROR,2025-08-23 17:40:41.154054,/root/autodl-tmp/00089/ptt_bp_analysis_calibrated,cannot unpack non-iterable NoneType object,"Subject 00089 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:41.154054
Output Directory: /root/autodl-tmp/00089/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: cannot unpack non-iterable NoneType object
"
00090,True,ERROR,2025-08-23 17:40:49.456601,/root/autodl-tmp/00090/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00090 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:49.456601
Output Directory: /root/autodl-tmp/00090/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00091,True,ERROR,2025-08-23 17:40:53.305959,/root/autodl-tmp/00091/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00091 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:53.305959
Output Directory: /root/autodl-tmp/00091/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00092,True,ERROR,2025-08-23 17:40:57.244881,/root/autodl-tmp/00092/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00092 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:57.244881
Output Directory: /root/autodl-tmp/00092/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00093,True,ERROR,2025-08-23 17:40:53.264667,/root/autodl-tmp/00093/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00093 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:53.264667
Output Directory: /root/autodl-tmp/00093/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00094,True,ERROR,2025-08-23 17:40:57.053597,/root/autodl-tmp/00094/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00094 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:57.053597
Output Directory: /root/autodl-tmp/00094/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00095,True,ERROR,2025-08-23 17:40:53.436545,/root/autodl-tmp/00095/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00095 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:53.436545
Output Directory: /root/autodl-tmp/00095/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00096,True,ERROR,2025-08-23 17:40:53.412030,/root/autodl-tmp/00096/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00096 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:53.412030
Output Directory: /root/autodl-tmp/00096/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00097,True,ERROR,2025-08-23 17:40:57.046295,/root/autodl-tmp/00097/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00097 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:57.046295
Output Directory: /root/autodl-tmp/00097/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
